ARCH: blackhole, CHIP_FREQ[MHz]: 1350, Max Compute Cores: 120
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
0,1,3,TRISC_0,30839,15504818717728,0,0,,,TRISC-FW,ZONE_START,150,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_0,60173,15504818718139,0,0,,,TRISC-KERNEL,ZONE_START,86,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_0,60173,15504818808828,0,0,,,TRISC-KERNEL,ZONE_END,86,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_0,30839,15504818808864,0,0,,,TRISC-FW,ZONE_END,150,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_1,30839,15504818717741,0,0,,,TRISC-FW,ZONE_START,150,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_1,60173,15504818717926,0,0,,,TRISC-KERNEL,ZONE_START,86,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_1,60173,15504818799776,0,0,,,TRISC-KERNEL,ZONE_END,86,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_1,30839,15504818808873,0,0,,,TRISC-FW,ZONE_END,150,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_2,30839,15504818717734,0,0,,,TRISC-FW,ZONE_START,150,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,3,TRISC_2,60173,15504818718159,0,0,,,TRISC-KERNEL,ZONE_START,86,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_2,60173,15504818786344,0,0,,,TRISC-KERNEL,ZONE_END,86,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
0,1,3,TRISC_2,30839,15504818808926,0,0,,,TRISC-FW,ZONE_END,150,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
0,1,4,BRISC,51381,15504818745602,0,0,,,BRISC-FW,ZONE_START,433,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,4,BRISC,31418,15504818746389,0,0,,,BRISC-KERNEL,ZONE_START,77,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,4,BRISC,31418,15504818833223,0,0,,,BRISC-KERNEL,ZONE_END,77,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
0,1,4,BRISC,51381,15504818833314,0,0,,,BRISC-FW,ZONE_END,433,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
0,1,4,NCRISC,49034,15504818745756,0,0,,,NCRISC-FW,ZONE_START,129,/home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
